model,intercept,slope,r2
t95 ~ wd,-13750.000000000007,87500.00000000003,1.0
t95 ~ 1/wd,31750.0,-5775.0,1.0
log t95 ~ wd,6.354806853028529,10.26225690087288,1.0
log t95 ~ 1/wd,11.691180441482425,-0.6773089554576099,1.0
alignment_mse_norm_t50,,,0.0029104408929377665
alignment_mse_norm_t95,,,0.008199408851053433
