p,seed,weight_decay,t_fit,t10,t20,t50,t80,t90,t95,t_curv,final_test_acc,final_test_loss
97,0,0.22,60,40,40,5060,5080,5260,5500,6980,1.0,0.010609382763504982
97,0,0.3,60,40,40,6220,12380,12420,12500,7820,1.0,0.011185728013515472
