model_name,task,optimizer,seed,p,weight_decay,grok_thr,epoch,train_loss,test_loss,train_total_loss,test_total_loss,train_acc,test_acc,train_resonance,test_resonance
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,1,4.442906379699707,4.63958215713501,4.442906379699707,4.63958215713501,0.03579021990299225,0.02186124213039875,0.38782799243927,0.38736188411712646
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,20,3.296142339706421,4.883349418640137,3.296142339706421,4.883349418640137,0.38306164741516113,0.05283133313059807,0.40183037519454956,0.40195751190185547
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,40,1.2270406484603882,4.462140083312988,1.2270406484603882,4.462140083312988,0.8997164964675903,0.26279035210609436,0.40250977873802185,0.4032291769981384
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,60,0.08288194984197617,4.288386344909668,0.08288194984197617,4.288386344909668,1.0,0.3092454969882965,0.39786291122436523,0.400292307138443
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,80,0.017864491790533066,4.4530534744262695,0.017864491790533066,4.4530534744262695,1.0,0.3106118142604828,0.3957882225513458,0.3997490704059601
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,100,0.01033071056008339,4.5073981285095215,0.01033071056008339,4.5073981285095215,1.0,0.31030818819999695,0.39454254508018494,0.3991701900959015
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,120,0.007969644851982594,4.528774738311768,0.007969644851982594,4.528774738311768,1.0,0.31046000123023987,0.3939802050590515,0.39897647500038147
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,140,0.0066642435267567635,4.539230823516846,0.0066642435267567635,4.539230823516846,1.0,0.31030818819999695,0.39352211356163025,0.3987947106361389
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,160,0.005748414900153875,4.545986175537109,0.005748414900153875,4.545986175537109,1.0,0.31030818819999695,0.39311420917510986,0.3986206352710724
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,180,0.005050669424235821,4.550835132598877,0.005050669424235821,4.550835132598877,1.0,0.31030818819999695,0.3927169442176819,0.39844629168510437
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,200,0.004499989561736584,4.554085731506348,0.004499989561736584,4.554085731506348,1.0,0.31030818819999695,0.39235198497772217,0.39828208088874817
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,220,0.004055730067193508,4.556045055389404,0.004055730067193508,4.556045055389404,1.0,0.3106118142604828,0.3920122981071472,0.39812198281288147
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,240,0.0036912066861987114,4.556855201721191,0.0036912066861987114,4.556855201721191,1.0,0.3107636272907257,0.39169350266456604,0.3979707956314087
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,260,0.003387821139767766,4.556715488433838,0.003387821139767766,4.556715488433838,1.0,0.31091544032096863,0.39138948917388916,0.3978302776813507
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,280,0.0031321949791163206,4.555757999420166,0.0031321949791163206,4.555757999420166,1.0,0.31091544032096863,0.39109501242637634,0.3977015018463135
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,300,0.0029144498985260725,4.554098606109619,0.0029144498985260725,4.554098606109619,1.0,0.31106725335121155,0.39081019163131714,0.39758390188217163
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,320,0.0027271786238998175,4.551833152770996,0.0027271786238998175,4.551833152770996,1.0,0.3113708794116974,0.3905390202999115,0.3974701464176178
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,340,0.0025647152215242386,4.549042701721191,0.0025647152215242386,4.549042701721191,1.0,0.3116745054721832,0.3902783691883087,0.39736253023147583
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,360,0.002422667108476162,4.5457987785339355,0.002422667108476162,4.5457987785339355,1.0,0.3116745054721832,0.3900282382965088,0.3972611427307129
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,380,0.002297579310834408,4.5421600341796875,0.002297579310834408,4.5421600341796875,1.0,0.31182631850242615,0.38978928327560425,0.397166907787323
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,400,0.0021867197938263416,4.538177967071533,0.0021867197938263416,4.538177967071533,1.0,0.3116745054721832,0.3895609378814697,0.39707422256469727
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,420,0.0020878773648291826,4.53389835357666,0.0020878773648291826,4.53389835357666,1.0,0.31182631850242615,0.3893420696258545,0.39698296785354614
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,440,0.0019992708694189787,4.529359340667725,0.0019992708694189787,4.529359340667725,1.0,0.31182631850242615,0.3891295790672302,0.3968934416770935
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,460,0.0019194253254681826,4.524595260620117,0.0019194253254681826,4.524595260620117,1.0,0.31182631850242615,0.3889245390892029,0.39680612087249756
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,480,0.001847145496867597,4.519634246826172,0.001847145496867597,4.519634246826172,1.0,0.3113708794116974,0.3887281119823456,0.3967219293117523
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,500,0.0017814124003052711,4.514505386352539,0.0017814124003052711,4.514505386352539,1.0,0.31197813153266907,0.38853392004966736,0.3966408371925354
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,520,0.0017213973915204406,4.509228229522705,0.0017213973915204406,4.509228229522705,1.0,0.3122817575931549,0.38834381103515625,0.3965594470500946
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,540,0.0016663784626871347,4.503826141357422,0.0016663784626871347,4.503826141357422,1.0,0.3124335706233978,0.3881591260433197,0.3964790403842926
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,560,0.0016157549107447267,4.498313903808594,0.0016157549107447267,4.498313903808594,1.0,0.31273719668388367,0.387978196144104,0.39640212059020996
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,580,0.0015690174186602235,4.4927077293396,0.0015690174186602235,4.4927077293396,1.0,0.31334447860717773,0.38780421018600464,0.39632973074913025
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,600,0.001525726169347763,4.487022399902344,0.001525726169347763,4.487022399902344,1.0,0.31334447860717773,0.387636661529541,0.3962617516517639
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,620,0.0014854918699711561,4.481269836425781,0.0014854918699711561,4.481269836425781,1.0,0.31349629163742065,0.3874736428260803,0.3961973190307617
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,640,0.0014479971723631024,4.475461006164551,0.0014479971723631024,4.475461006164551,1.0,0.3136481046676636,0.3873150050640106,0.3961348235607147
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,660,0.0014129432383924723,4.469606399536133,0.0014129432383924723,4.469606399536133,1.0,0.3139517307281494,0.38716188073158264,0.3960728049278259
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,680,0.0013800951419398189,4.4637131690979,0.0013800951419398189,4.4637131690979,1.0,0.3139517307281494,0.38701245188713074,0.3960120379924774
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,700,0.0013492247089743614,4.457790851593018,0.0013492247089743614,4.457790851593018,1.0,0.3151662349700928,0.38686588406562805,0.39595407247543335
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,720,0.0013201407855376601,4.451846599578857,0.0013201407855376601,4.451846599578857,1.0,0.3151662349700928,0.386722207069397,0.3958964943885803
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,740,0.0012926780618727207,4.445887565612793,0.0012926780618727207,4.445887565612793,1.0,0.31562167406082153,0.38658463954925537,0.39584070444107056
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,760,0.001266686711460352,4.4399189949035645,0.001266686711460352,4.4399189949035645,1.0,0.3159253001213074,0.3864523768424988,0.39578649401664734
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,780,0.0012420292478054762,4.433948040008545,0.0012420292478054762,4.433948040008545,1.0,0.31653255224227905,0.38632577657699585,0.39573460817337036
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,800,0.001218591583892703,4.427977085113525,0.001218591583892703,4.427977085113525,1.0,0.3169880211353302,0.3862043619155884,0.39568644762039185
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,820,0.00119626650121063,4.422013282775879,0.00119626650121063,4.422013282775879,1.0,0.3171398341655731,0.3860901892185211,0.39564049243927
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,840,0.0011749648256227374,4.416060447692871,0.0011749648256227374,4.416060447692871,1.0,0.31744346022605896,0.3859798014163971,0.39559686183929443
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,860,0.0011545923771336675,4.410120487213135,0.0011545923771336675,4.410120487213135,1.0,0.3178988993167877,0.38587576150894165,0.39555594325065613
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,880,0.0011350858258083463,4.40419864654541,0.0011350858258083463,4.40419864654541,1.0,0.3178988993167877,0.385776549577713,0.39551958441734314
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,900,0.001116367755457759,4.39829683303833,0.001116367755457759,4.39829683303833,1.0,0.31805071234703064,0.38568052649497986,0.3954862058162689
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,920,0.0010983803076669574,4.392418384552002,0.0010983803076669574,4.392418384552002,1.0,0.3175952732563019,0.38559019565582275,0.3954542279243469
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,940,0.0010810726089403033,4.386565208435059,0.0010810726089403033,4.386565208435059,1.0,0.3177470862865448,0.3855043947696686,0.3954246938228607
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,960,0.0010643857531249523,4.380740165710449,0.0010643857531249523,4.380740165710449,1.0,0.31805071234703064,0.3854234516620636,0.3953961730003357
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,980,0.0010482724756002426,4.374943256378174,0.0010482724756002426,4.374943256378174,1.0,0.31820252537727356,0.3853457272052765,0.3953710198402405
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,1000,0.0010327068157494068,4.369177341461182,0.0010327068157494068,4.369177341461182,1.0,0.31820252537727356,0.38527098298072815,0.39535072445869446
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,1020,0.001017643022350967,4.363443374633789,0.001017643022350967,4.363443374633789,1.0,0.3186579644680023,0.38519489765167236,0.39533334970474243
leech_modular_classifier,mul,adamw,0,97,0.22,1.0,1040,0.0010030409321188927,4.35774040222168,0.0010030409321188927,4.35774040222168,1.0,0.3183543384075165,0.3851203918457031,0.395317941904068
