model_name,task,optimizer,seed,p,weight_decay,epoch,train_loss,test_loss,train_total_loss,test_total_loss,train_acc,test_acc,train_resonance,test_resonance
plain_modular_transformer,mul,adamw,0,97,0.22,1,4.4587602615356445,4.638726234436035,4.4587602615356445,4.638726234436035,0.03260099142789841,0.02231668494641781,13.846845626831055,13.846837043762207
plain_modular_transformer,mul,adamw,0,97,0.22,20,3.1534101963043213,4.835057258605957,3.1534101963043213,4.835057258605957,0.42133238911628723,0.0695308968424797,14.037220001220703,14.037262916564941
plain_modular_transformer,mul,adamw,0,97,0.22,40,0.7668723464012146,4.519120693206787,0.7668723464012146,4.519120693206787,0.9836995005607605,0.2957340180873871,14.311298370361328,14.31113052368164
plain_modular_transformer,mul,adamw,0,97,0.22,60,0.05218855291604996,4.833902835845947,0.05218855291604996,4.833902835845947,1.0,0.3069682717323303,14.531365394592285,14.531288146972656
plain_modular_transformer,mul,adamw,0,97,0.22,80,0.015728231519460678,5.069823265075684,0.015728231519460678,5.069823265075684,1.0,0.30727189779281616,14.58045768737793,14.580516815185547
plain_modular_transformer,mul,adamw,0,97,0.22,100,0.010052529163658619,5.140460014343262,0.010052529163658619,5.140460014343262,1.0,0.30712008476257324,14.5606050491333,14.560626029968262
plain_modular_transformer,mul,adamw,0,97,0.22,120,0.007953840307891369,5.167199611663818,0.007953840307891369,5.167199611663818,1.0,0.3074237108230591,14.52499771118164,14.525047302246094
plain_modular_transformer,mul,adamw,0,97,0.22,140,0.0067015341483056545,5.185285568237305,0.0067015341483056545,5.185285568237305,1.0,0.307575523853302,14.485025405883789,14.485063552856445
plain_modular_transformer,mul,adamw,0,97,0.22,160,0.005799890961498022,5.198633670806885,0.005799890961498022,5.198633670806885,1.0,0.307575523853302,14.44340991973877,14.443446159362793
plain_modular_transformer,mul,adamw,0,97,0.22,180,0.0051064458675682545,5.209118843078613,0.0051064458675682545,5.209118843078613,1.0,0.3074237108230591,14.40075969696045,14.40079116821289
plain_modular_transformer,mul,adamw,0,97,0.22,200,0.004556349944323301,5.217557907104492,0.004556349944323301,5.217557907104492,1.0,0.3077273368835449,14.35734748840332,14.357377052307129
plain_modular_transformer,mul,adamw,0,97,0.22,220,0.004110908601433039,5.224295139312744,0.004110908601433039,5.224295139312744,1.0,0.3077273368835449,14.313352584838867,14.313379287719727
plain_modular_transformer,mul,adamw,0,97,0.22,240,0.003744308603927493,5.2295823097229,0.003744308603927493,5.2295823097229,1.0,0.3077273368835449,14.268898963928223,14.268924713134766
plain_modular_transformer,mul,adamw,0,97,0.22,260,0.003438402898609638,5.233624458312988,0.003438402898609638,5.233624458312988,1.0,0.3077273368835449,14.224093437194824,14.224119186401367
plain_modular_transformer,mul,adamw,0,97,0.22,280,0.0031800582073628902,5.236587047576904,0.0031800582073628902,5.236587047576904,1.0,0.3077273368835449,14.1790189743042,14.179044723510742
plain_modular_transformer,mul,adamw,0,97,0.22,300,0.0029595522210001945,5.238607883453369,0.0029595522210001945,5.238607883453369,1.0,0.30787914991378784,14.133746147155762,14.133771896362305
plain_modular_transformer,mul,adamw,0,97,0.22,320,0.0027695531025528908,5.239804267883301,0.0027695531025528908,5.239804267883301,1.0,0.30787914991378784,14.088336944580078,14.08836555480957
plain_modular_transformer,mul,adamw,0,97,0.22,340,0.002604435430839658,5.240276336669922,0.002604435430839658,5.240276336669922,1.0,0.30787914991378784,14.042842864990234,14.042871475219727
plain_modular_transformer,mul,adamw,0,97,0.22,360,0.002459832699969411,5.240108489990234,0.002459832699969411,5.240108489990234,1.0,0.30787914991378784,13.997307777404785,13.997342109680176
plain_modular_transformer,mul,adamw,0,97,0.22,380,0.0023322978522628546,5.23937463760376,0.0023322978522628546,5.23937463760376,1.0,0.30787914991378784,13.951770782470703,13.951807022094727
plain_modular_transformer,mul,adamw,0,97,0.22,400,0.00221908837556839,5.238140106201172,0.00221908837556839,5.238140106201172,1.0,0.30803096294403076,13.906264305114746,13.906303405761719
plain_modular_transformer,mul,adamw,0,97,0.22,420,0.0021179986651986837,5.236459255218506,0.0021179986651986837,5.236459255218506,1.0,0.30803096294403076,13.86081600189209,13.860858917236328
plain_modular_transformer,mul,adamw,0,97,0.22,440,0.0020272363908588886,5.234384536743164,0.0020272363908588886,5.234384536743164,1.0,0.3081827759742737,13.81545352935791,13.815500259399414
plain_modular_transformer,mul,adamw,0,97,0.22,460,0.0019453282002359629,5.2319560050964355,0.0019453282002359629,5.2319560050964355,1.0,0.3081827759742737,13.770195960998535,13.770244598388672
plain_modular_transformer,mul,adamw,0,97,0.22,480,0.0018710599979385734,5.229215145111084,0.0018710599979385734,5.229215145111084,1.0,0.30787914991378784,13.725065231323242,13.725118637084961
plain_modular_transformer,mul,adamw,0,97,0.22,500,0.0018034153617918491,5.226197242736816,0.0018034153617918491,5.226197242736816,1.0,0.30803096294403076,13.680075645446777,13.680130958557129
plain_modular_transformer,mul,adamw,0,97,0.22,520,0.0017415500478819013,5.222931861877441,0.0017415500478819013,5.222931861877441,1.0,0.30803096294403076,13.63524341583252,13.63530158996582
plain_modular_transformer,mul,adamw,0,97,0.22,540,0.0016847479855641723,5.219448566436768,0.0016847479855641723,5.219448566436768,1.0,0.30803096294403076,13.590582847595215,13.590642929077148
plain_modular_transformer,mul,adamw,0,97,0.22,560,0.0016324028838425875,5.215775012969971,0.0016324028838425875,5.215775012969971,1.0,0.30803096294403076,13.54610538482666,13.54616928100586
plain_modular_transformer,mul,adamw,0,97,0.22,580,0.0015839908737689257,5.211933135986328,0.0015839908737689257,5.211933135986328,1.0,0.30803096294403076,13.50182056427002,13.501885414123535
plain_modular_transformer,mul,adamw,0,97,0.22,600,0.0015390811022371054,5.207944393157959,0.0015390811022371054,5.207944393157959,1.0,0.30803096294403076,13.45773983001709,13.457804679870605
plain_modular_transformer,mul,adamw,0,97,0.22,620,0.0014972761273384094,5.203830242156982,0.0014972761273384094,5.203830242156982,1.0,0.30787914991378784,13.413869857788086,13.413935661315918
plain_modular_transformer,mul,adamw,0,97,0.22,640,0.0014582525473088026,5.199607849121094,0.0014582525473088026,5.199607849121094,1.0,0.30787914991378784,13.370217323303223,13.370285987854004
plain_modular_transformer,mul,adamw,0,97,0.22,660,0.0014217214193195105,5.195295810699463,0.0014217214193195105,5.195295810699463,1.0,0.30787914991378784,13.326788902282715,13.326859474182129
plain_modular_transformer,mul,adamw,0,97,0.22,680,0.0013874305877834558,5.190907955169678,0.0013874305877834558,5.190907955169678,1.0,0.30803096294403076,13.28359317779541,13.283661842346191
plain_modular_transformer,mul,adamw,0,97,0.22,700,0.0013551638694480062,5.186460494995117,0.0013551638694480062,5.186460494995117,1.0,0.3083345890045166,13.240633964538574,13.240702629089355
plain_modular_transformer,mul,adamw,0,97,0.22,720,0.0013247218448668718,5.181964874267578,0.0013247218448668718,5.181964874267578,1.0,0.3083345890045166,13.19791316986084,13.197982788085938
plain_modular_transformer,mul,adamw,0,97,0.22,740,0.0012959397863596678,5.177435398101807,0.0012959397863596678,5.177435398101807,1.0,0.3083345890045166,13.155439376831055,13.155508041381836
plain_modular_transformer,mul,adamw,0,97,0.22,760,0.0012686634436249733,5.172881126403809,0.0012686634436249733,5.172881126403809,1.0,0.3083345890045166,13.113213539123535,13.113282203674316
plain_modular_transformer,mul,adamw,0,97,0.22,780,0.0012427647598087788,5.168314456939697,0.0012427647598087788,5.168314456939697,1.0,0.3083345890045166,13.071239471435547,13.071304321289062
plain_modular_transformer,mul,adamw,0,97,0.22,800,0.0012181145139038563,5.163745403289795,0.0012181145139038563,5.163745403289795,1.0,0.3081827759742737,13.029520988464355,13.029582977294922
plain_modular_transformer,mul,adamw,0,97,0.22,820,0.0011946158483624458,5.1591796875,0.0011946158483624458,5.1591796875,1.0,0.3081827759742737,12.988058090209961,12.988119125366211
plain_modular_transformer,mul,adamw,0,97,0.22,840,0.0011721666669473052,5.154626369476318,0.0011721666669473052,5.154626369476318,1.0,0.3081827759742737,12.946852684020996,12.946911811828613
plain_modular_transformer,mul,adamw,0,97,0.22,860,0.0011506876908242702,5.150092601776123,0.0011506876908242702,5.150092601776123,1.0,0.3081827759742737,12.905911445617676,12.905965805053711
plain_modular_transformer,mul,adamw,0,97,0.22,880,0.0011301045306026936,5.145584583282471,0.0011301045306026936,5.145584583282471,1.0,0.30803096294403076,12.865230560302734,12.865281105041504
plain_modular_transformer,mul,adamw,0,97,0.22,900,0.00111034931614995,5.141106605529785,0.00111034931614995,5.141106605529785,1.0,0.30803096294403076,12.824813842773438,12.824860572814941
plain_modular_transformer,mul,adamw,0,97,0.22,920,0.00109134241938591,5.136663436889648,0.00109134241938591,5.136663436889648,1.0,0.30803096294403076,12.784662246704102,12.784704208374023
plain_modular_transformer,mul,adamw,0,97,0.22,940,0.0010730529902502894,5.132260322570801,0.0010730529902502894,5.132260322570801,1.0,0.30803096294403076,12.744775772094727,12.74481201171875
plain_modular_transformer,mul,adamw,0,97,0.22,960,0.0010554142063483596,5.127898693084717,0.0010554142063483596,5.127898693084717,1.0,0.3081827759742737,12.705156326293945,12.705185890197754
plain_modular_transformer,mul,adamw,0,97,0.22,980,0.0010383835760876536,5.1235809326171875,0.0010383835760876536,5.1235809326171875,1.0,0.3081827759742737,12.665803909301758,12.665825843811035
plain_modular_transformer,mul,adamw,0,97,0.22,1000,0.0010219275718554854,5.11931037902832,0.0010219275718554854,5.11931037902832,1.0,0.3081827759742737,12.626718521118164,12.626733779907227
plain_modular_transformer,mul,adamw,0,97,0.22,1020,0.001005995087325573,5.1150898933410645,0.001005995087325573,5.1150898933410645,1.0,0.3083345890045166,12.587899208068848,12.587907791137695
plain_modular_transformer,mul,adamw,0,97,0.22,1040,0.0009905652841553092,5.110917091369629,0.0009905652841553092,5.110917091369629,1.0,0.3083345890045166,12.549347877502441,12.549348831176758
plain_modular_transformer,mul,adamw,0,97,0.22,1060,0.0009755962528288364,5.106795787811279,0.0009755962528288364,5.106795787811279,1.0,0.3083345890045166,12.511065483093262,12.511055946350098
plain_modular_transformer,mul,adamw,0,97,0.22,1080,0.0009610651177354157,5.102725505828857,0.0009610651177354157,5.102725505828857,1.0,0.3083345890045166,12.473047256469727,12.473030090332031
plain_modular_transformer,mul,adamw,0,97,0.22,1100,0.0009469433571211994,5.0987067222595215,0.0009469433571211994,5.0987067222595215,1.0,0.3083345890045166,12.435298919677734,12.435271263122559
plain_modular_transformer,mul,adamw,0,97,0.22,1120,0.0009332103072665632,5.094738483428955,0.0009332103072665632,5.094738483428955,1.0,0.3083345890045166,12.39781665802002,12.39777660369873
plain_modular_transformer,mul,adamw,0,97,0.22,1140,0.0009198360494337976,5.090822219848633,0.0009198360494337976,5.090822219848633,1.0,0.3083345890045166,12.360600471496582,12.360548973083496
plain_modular_transformer,mul,adamw,0,97,0.22,1160,0.0009068151703104377,5.086957931518555,0.0009068151703104377,5.086957931518555,1.0,0.3083345890045166,12.323648452758789,12.323585510253906
plain_modular_transformer,mul,adamw,0,97,0.22,1180,0.0008941125124692917,5.083143711090088,0.0008941125124692917,5.083143711090088,1.0,0.3083345890045166,12.286961555480957,12.286887168884277
plain_modular_transformer,mul,adamw,0,97,0.22,1200,0.0008817188790999353,5.079380512237549,0.0008817188790999353,5.079380512237549,1.0,0.3083345890045166,12.250540733337402,12.250452041625977
plain_modular_transformer,mul,adamw,0,97,0.22,1220,0.0008696220465935767,5.075667381286621,0.0008696220465935767,5.075667381286621,1.0,0.3083345890045166,12.21438217163086,12.214279174804688
plain_modular_transformer,mul,adamw,0,97,0.22,1240,0.0008578037959523499,5.072006702423096,0.0008578037959523499,5.072006702423096,1.0,0.3084864020347595,12.178487777709961,12.178370475769043
plain_modular_transformer,mul,adamw,0,97,0.22,1260,0.0008462472469545901,5.068395614624023,0.0008462472469545901,5.068395614624023,1.0,0.3084864020347595,12.142853736877441,12.142723083496094
plain_modular_transformer,mul,adamw,0,97,0.22,1280,0.0008349475101567805,5.064835548400879,0.0008349475101567805,5.064835548400879,1.0,0.3084864020347595,12.107481002807617,12.107335090637207
plain_modular_transformer,mul,adamw,0,97,0.22,1300,0.0008238903828896582,5.061326026916504,0.0008238903828896582,5.061326026916504,1.0,0.30863821506500244,12.072370529174805,12.0722074508667
plain_modular_transformer,mul,adamw,0,97,0.22,1320,0.0008130563655868173,5.057868003845215,0.0008130563655868173,5.057868003845215,1.0,0.30863821506500244,12.037518501281738,12.037338256835938
plain_modular_transformer,mul,adamw,0,97,0.22,1340,0.0008024476701393723,5.054461479187012,0.0008024476701393723,5.054461479187012,1.0,0.3089418411254883,12.002924919128418,12.002727508544922
plain_modular_transformer,mul,adamw,0,97,0.22,1360,0.0007920498610474169,5.051106929779053,0.0007920498610474169,5.051106929779053,1.0,0.3089418411254883,11.968588829040527,11.96837329864502
plain_modular_transformer,mul,adamw,0,97,0.22,1380,0.0007818527519702911,5.04780387878418,0.0007818527519702911,5.04780387878418,1.0,0.3089418411254883,11.93450927734375,11.934274673461914
plain_modular_transformer,mul,adamw,0,97,0.22,1400,0.0007718456909060478,5.044552803039551,0.0007718456909060478,5.044552803039551,1.0,0.3092454969882965,11.900684356689453,11.900433540344238
plain_modular_transformer,mul,adamw,0,97,0.22,1420,0.0007620331016369164,5.041355609893799,0.0007620331016369164,5.041355609893799,1.0,0.3092454969882965,11.86711597442627,11.866844177246094
plain_modular_transformer,mul,adamw,0,97,0.22,1440,0.0007524003740400076,5.038210391998291,0.0007524003740400076,5.038210391998291,1.0,0.30939731001853943,11.8337984085083,11.833507537841797
plain_modular_transformer,mul,adamw,0,97,0.22,1460,0.0007429385441355407,5.035118103027344,0.0007429385441355407,5.035118103027344,1.0,0.30939731001853943,11.800734519958496,11.800421714782715
plain_modular_transformer,mul,adamw,0,97,0.22,1480,0.0007336369599215686,5.032077789306641,0.0007336369599215686,5.032077789306641,1.0,0.30939731001853943,11.76792049407959,11.76758861541748
