model_name,task,optimizer,seed,p,weight_decay,epochs,train_frac,lr,momentum,d_model,n_heads,n_layers,ff_mult,lambda_geo,grok_thr,grok_patience_logs,t_fit,t50,t95,stop_epoch,stopped_early,final_train_loss,final_test_loss,final_train_total_loss,final_test_total_loss,final_train_acc,final_test_acc,final_train_resonance,final_test_resonance
plain_modular_transformer,mul,adamw,0,97,0.22,30000,0.3,0.001,,192,8,2,2,,1.0,5,60,4520,6900,7360,True,0.0022903273347765207,0.0059750135987997055,0.0022903273347765207,0.0059750135987997055,1.0,1.0,11.830913543701172,11.824292182922363
plain_modular_transformer,mul,adamw,0,97,0.3,30000,0.3,0.001,,192,8,2,2,,1.0,5,60,8320,9300,10840,True,0.004199606366455555,0.01046756748110056,0.004199606366455555,0.01046756748110056,1.0,1.0,10.193995475769043,10.209916114807129
