p,seed,weight_decay,t_fit,t10,t20,t50,t80,t90,t95,t_curv,final_test_acc,final_test_loss
97,0,0.2,60,40,40,3300,3320,3320,3340,3280,1.0,0.008911048993468285
97,0,0.22,60,40,40,6000,7120,7560,7900,8420,1.0,0.005721002351492643
97,0,0.24,60,40,40,4380,4400,4420,4600,4340,1.0,0.005007761064916849
97,0,0.25,60,40,40,2940,3920,4280,4280,4260,1.0,0.004640047438442707
97,0,0.3,60,40,40,2120,2160,2260,2480,3880,1.0,0.008485987782478333
97,0,0.35,60,40,40,2160,2200,2260,2360,3240,1.0,0.010815548710525036
97,0,0.4,60,40,40,1780,2060,2240,2380,2960,1.0,0.015450861304998398
