model,intercept,slope,r2
t95 ~ wd,8716.14906832298,-17180.124223602485,0.401927421917159
t95 ~ 1/wd,-1213.9441132294055,1357.3516365128626,0.38656513035879725
log t95 ~ wd,9.41927877503171,-4.435612717295354,0.5275514791321577
log t95 ~ 1/wd,6.863467060216873,0.3483324362965976,0.5012891866528753
alignment_mse_norm_t50,,,0.005163533070011746
alignment_mse_norm_t95,,,0.012144745799311778
