model,intercept,slope,r2
t95 ~ wd,299.9999999999982,30000.000000000007,1.0
t95 ~ 1/wd,15900.0,-1979.9999999999998,1.0
log t95 ~ wd,8.018420972056358,3.731162356949969,1.0
log t95 ~ 1/wd,9.958625397670342,-0.24625671555869788,1.0
alignment_mse_norm_t50,,,0.0022503715292274845
alignment_mse_norm_t95,,,0.007787941840965455
