p,seed,weight_decay,t_fit,t10,t20,t50,t80,t90,t95,t_curv,final_test_acc,final_test_loss
97,0,0.22,60,40,40,4520,5980,6520,6900,6920,1.0,0.0059750135987997055
97,0,0.3,60,40,40,8320,9060,9280,9300,10180,1.0,0.01046756748110056
