model_name,task,optimizer,seed,p,weight_decay,grok_thr,epoch,train_loss,test_loss,train_total_loss,test_total_loss,train_acc,test_acc,train_resonance,test_resonance
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,1,4.442349910736084,4.639415740966797,4.448470115661621,4.645541191101074,0.03720765560865402,0.02216487005352974,0.3880024254322052,0.3874497711658478
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,20,3.288896322250366,4.881491661071777,3.2948620319366455,4.887454986572266,0.3848334550857544,0.05419766157865524,0.4034263789653778,0.40368881821632385
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,40,1.2610275745391846,4.491003036499023,1.2670197486877441,4.496991157531738,0.8901488184928894,0.25884318351745605,0.4007878303527832,0.40118369460105896
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,60,0.0876714214682579,4.294911861419678,0.09367820620536804,4.300894260406494,1.0,0.3089418411254883,0.3993215560913086,0.40177270770072937
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,80,0.018425889313220978,4.461531162261963,0.024439744651317596,4.4675092697143555,1.0,0.3106118142604828,0.39861443638801575,0.4021802246570587
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,100,0.010481037199497223,4.51356840133667,0.016483306884765625,4.519533634185791,1.0,0.31091544032096863,0.39977315068244934,0.4034789204597473
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,120,0.008022092282772064,4.536098480224609,0.014007280580699444,4.542049407958984,1.0,0.3115226924419403,0.40148115158081055,0.40490996837615967
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,140,0.006675234995782375,4.548046588897705,0.012642081826925278,4.553982734680176,1.0,0.3113708794116974,0.4033152461051941,0.4064067006111145
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,160,0.005737434606999159,4.555722236633301,0.011684540659189224,4.561642169952393,1.0,0.3115226924419403,0.4052894413471222,0.4079834222793579
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,180,0.0050274161621928215,4.561368942260742,0.010953468270599842,4.567272186279297,1.0,0.3116745054721832,0.40739476680755615,0.40967151522636414
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,200,0.00447034789249301,4.565478324890137,0.010373271070420742,4.5713629722595215,1.0,0.31182631850242615,0.409707635641098,0.41153326630592346
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,220,0.004023526329547167,4.568026542663574,0.00990096852183342,4.573890686035156,1.0,0.31197813153266907,0.41225582361221313,0.4136028587818146
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,240,0.003658986184746027,4.569303512573242,0.009508525021374226,4.575144290924072,1.0,0.3122817575931549,0.4150460958480835,0.4158991575241089
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,260,0.0033574821427464485,4.569579124450684,0.009176088497042656,4.575394153594971,1.0,0.31197813153266907,0.41813939809799194,0.4184803366661072
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,280,0.00310509093105793,4.568741798400879,0.008889440447092056,4.574528217315674,1.0,0.3116745054721832,0.42156505584716797,0.42137038707733154
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,300,0.002891944255679846,4.567099094390869,0.008637681603431702,4.57285213470459,1.0,0.31197813153266907,0.425426185131073,0.42470312118530273
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,320,0.00271069654263556,4.56481409072876,0.008412241004407406,4.570528030395508,1.0,0.3122817575931549,0.42984554171562195,0.42862677574157715
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,340,0.002556083258241415,4.5617265701293945,0.008205633610486984,4.567392349243164,1.0,0.3122817575931549,0.4350448548793793,0.43342089653015137
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,360,0.0024247535038739443,4.557317733764648,0.008009959012269974,4.562921524047852,1.0,0.3122817575931549,0.4414794445037842,0.43960732221603394
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,380,0.0023156816605478525,4.551962375640869,0.007813346572220325,4.557478427886963,1.0,0.31273719668388367,0.45023348927497864,0.4483816921710968
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,400,0.0022326684556901455,4.544826507568359,0.007589175831526518,4.550196170806885,1.0,0.3130408525466919,0.46434924006462097,0.46303799748420715
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,420,0.0021920197177678347,4.53364372253418,0.007263091392815113,4.538707733154297,1.0,0.3136481046676636,0.492892861366272,0.49359315633773804
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,440,0.002246925374493003,4.513379096984863,0.006581930443644524,4.517675876617432,1.0,0.3139517307281494,0.5664994716644287,0.5703369379043579
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,460,0.002312425756826997,4.491495609283447,0.005456128157675266,4.494596481323242,1.0,0.31410354375839233,0.6856297850608826,0.6899000406265259
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,480,0.0021577361039817333,4.485913276672363,0.0046946885995566845,4.48841667175293,1.0,0.3136481046676636,0.7463047504425049,0.7496508955955505
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,500,0.0019643097184598446,4.486304759979248,0.00432730745524168,4.488638401031494,1.0,0.3145589828491211,0.7637002468109131,0.7666228413581848
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,520,0.0018193279393017292,4.4860029220581055,0.004101946018636227,4.488259315490723,1.0,0.31486260890960693,0.7717381715774536,0.7743707895278931
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,540,0.001708801370114088,4.483836650848389,0.003940373659133911,4.486044406890869,1.0,0.31486260890960693,0.7768427729606628,0.7792316675186157
leech_modular_classifier,mul,adamw,0,97,0.2,1.0,560,0.0016207522712647915,4.480482578277588,0.00381449400447309,4.482654571533203,1.0,0.31486260890960693,0.7806258201599121,0.782788872718811
